,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Entry
32,33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might."
33,34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,"Nidoking’s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokémon goes on a rampage, there is no stopping it."
34,35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,"They’re popular, but they’re rare. Trainers who
show them off recklessly may be targeted
by thieves."
35,36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,"It can’t help but hear a pin drop from over half
a mile away, so it lives deep in the mountains
where there aren’t many people or Pokémon."
36,37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,"Its beautiful tails have made it very popular.
However, if it’s not brushed diligently, it will
be a mass of tangles before you know it."
37,38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,"It is vindictive and relentless by nature.
Those who cross it even once will be cursed for
a thousand years, along with their descendants."
38,39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,"Recordings of Jigglypuff’s strange lullabies can
be purchased from department stores. These
CDs can be found near the bedding area."
39,40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,"Thanks to its bouncy body and fine fur,
this Pokémon is sought after. Holding one
in your arms while you sleep feels great."
40,41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,"It has no eyeballs, so it can’t see. It checks its
surroundings via the ultrasonic waves it emits
from its mouth."
41,42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,"Every once in a while, you’ll see a Golbat that’s
missing some fangs. This happens when hunger
drives it to try biting a Steel-type Pokémon."
42,43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokémon’s feet
are thought to change shape and become similar to the roots
of trees."
43,44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey."
44,45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,"Vileplume has the world’s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokémon catches and devours them."
45,46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,"Whether it’s due to a lack of moisture or a lack
of nutrients, in Alola the mushrooms on Paras
don’t grow up quite right."
46,47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,"The bug is mostly dead, with the mushroom on
its back having become the main body. If the
mushroom comes off, the bug stops moving."
47,48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey."
48,49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,"Venomoth is nocturnal—it is a Pokémon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness."
49,50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,"It travels through tunnels that it digs
underground. It hates sunlight, so it comes
out only after the sun goes down."
50,51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,"While the three of them normally get along
splendidly, on rare occasions a huge fight will
break out over which head gets to eat first."
51,52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,"When visiting a junkyard, you may catch sight
of it having an intense fight with Murkrow over
shiny objects."
52,53,Persian,Normal,,440,65,70,60,65,65,115,1,False,"Although the jewel on its forehead appears to
be a different color than those of Alolan
Persian, it’s mostly made of the same material."
53,54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,"Using psychokinesis gives it a headache, so it
normally passes the time spacing out and doing
as little as possible."
54,55,Golduck,Water,,500,80,82,78,95,80,85,1,False,"Even fast-swimming fish Pokémon can be
disabled by Golduck. It brings them to a
standstill and seizes them."
55,56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,"The smallest of things could cause it to lose its
temper. Because it doesn’t hold in its stress,
this Pokémon can live a long time."
56,57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,"It will never forgive opponents who have
angered it. Even after it has beaten them down
until they can’t move, it never ever forgives."
57,58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,"While it’s quite friendly toward humans once it’s
grown used to them, in the wild it must be quite
fierce to defend its territory from Rockruff."
58,59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,"Legends tell of its fighting alongside a general
and conquering a whole country."
59,60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,"Despite the danger, it wants to come up on land.
So it does its best to waddle along, but when
an enemy finds it, it rushes back to the water."
60,61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,"Although it has become capable of living on
land, it spends its time in the water, where
its prey, fish Pokémon, are plentiful."
61,62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,"It’s quite a gifted swimmer, even among
Water-type Pokémon, but it normally spends its
time on land."
62,63,Abra,Psychic,,310,25,20,15,105,55,90,1,False,"It uses various psychic powers even while it’s
sleeping, so you can’t tell whether or not
it’s awake."
63,64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,"It stares at a silver spoon to amplify its psychic
powers before it lets loose. Apparently, gold
spoons are no good."
64,65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,"Alakazam uses its psychic powers to make the
spoons it carries. Each spoon is an original that
there’s only one of in the whole world."
65,66,Machop,Fighting,,305,70,80,50,35,35,35,1,False,"Once this Pokémon has gained enough
confidence and muscle from training with its
friends, it challenges Makuhita to a battle."
66,67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,"When it encounters an enemy that’s truly
mighty, this Pokémon removes the power-save
belt from its waist and unleashes its full power."
67,68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,"It grasps its opponents with its four arms and
twists them up in an intricate hold. People call
it “the Machamp special.”"
68,69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,"Bellsprout’s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokémon spits a corrosive fluid that melts even iron."
69,70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,"Weepinbell has a large hook on its rear end. At night, the
Pokémon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground."
70,71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokémon swallows it whole."
71,72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,"It drifts through the sea searching for prey.
Its poisonous tentacles break off sometimes,
but after a while, they grow back."
72,73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,"It fires off ultrasonic waves from its red orbs
to weaken its prey, and then it wraps them up
in its 80 tentacles."
73,74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,"Geodude that have lived a long life have had all
their edges smoothed out until they’re totally
round. They also have a calm, quiet disposition."
74,75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,"It climbs up cliffs as it heads toward the peak
of a mountain. As soon as it reaches the summit,
it rolls back down the way it came."
75,76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,"When Golem grow old, they stop shedding their
shells. Those that have lived a long, long time
have shells green with moss."
76,77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,"Ponyta is very weak at birth. It can barely stand up.
This Pokémon becomes stronger by stumbling and
falling to keep up with its parent."
77,78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokémon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph."
78,79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,"There are some places where Slowpoke is
worshiped because of a long-standing belief
that whenever Slowpoke yawns, it rains."
79,80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,"Spacing out is basically all it does. It turns back
into Slowpoke if its tail, along with Shellder,
breaks off."
80,81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,"It’s frequently the cause of power outages,
which is why some power plants send out
electrical signals that it can’t stand."
81,82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,"Delicate equipment can malfunction in areas
inhabited by Magneton, which send out
mysterious electrical signals."
82,83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,"Farfetch’d is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokémon has been known to fight with others over stalks."
83,84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,"Doduo’s two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokémon possessing different sets of brains."
84,85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,"Apparently, the heads aren’t the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest."
85,86,Seel,Water,,325,65,45,55,45,70,45,1,False,"It has always been supposed that Seel live only
in cold seas. Their having shown up in Alola is
a mystery."
86,87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,"It swims through the ocean at a speed of eight
knots, searching for Pokémon that will become
its prey. It’s especially fond of Wishiwashi."
87,88,Grimer,Poison,,325,80,80,50,40,50,25,1,False,"It was born from sludge on the ocean floor. In a
sterile environment, the germs within its body
can’t multiply, and it dies."
88,89,Muk,Poison,,500,105,105,75,65,100,50,1,False,"Their food sources have decreased, and their
numbers have declined sharply. Sludge ponds
are being built to prevent their extinction."
89,90,Shellder,Water,,305,30,65,100,45,25,40,1,False,"The sand that accumulates inside its shell
eventually becomes a pearl. But the pearl gets
in the way, so it spits it out and discards it."
90,91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,"If areas of Cloyster’s very hard shell get
damaged, those areas swell, gradually growing
into large sharp spikes."
91,92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,"It’s said that gas emanating from a graveyard
was possessed by the grievances of the
deceased and thus became a Pokémon."
92,93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,"On moonless nights, Haunter searches for
someone to curse, so it’s best not to go out
walking around."
93,94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,"You can hear tales told all over the world about
how Gengar will pay a visit to children who
are naughty."
94,95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,"Onix has a magnet in its brain. It acts as a compass so that
this Pokémon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother."
95,96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,"It can be spotted near recreational facilities,
intending to eat the pleasant dreams of children
who enjoyed themselves there that day."
96,97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,"In Alola, Komala is Hypno’s main target. It rarely
harms people."
97,98,Krabby,Water,,325,30,105,90,25,25,50,1,False,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokémon can be seen squabbling with each other
over territory."
98,99,Kingler,Water,,475,55,130,115,50,50,75,1,False,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokémon quickly tires."
99,100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,"Voltorb is extremely sensitive—it explodes at the slightest
of shocks. It is rumored that it was first created when a
Poké Ball was exposed to a powerful pulse of energy."
100,101,Electrode,Electric,,480,60,50,70,80,80,140,1,False,"One of Electrode’s characteristics is its attraction to electricity.
It is a problematical Pokémon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated."
101,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,"Six of them form a single Pokémon. Should one
of the six be lost, the next morning there will
once more be six."
102,103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,"It engages its enemies using psychic powers.
Each of its three heads fires off psychokinetic
energy, tripling its power."
103,104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,"At night, it weeps loudly for its dead mother,
but those cries only attract its natural
enemy—Mandibuzz."
104,105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,"It throws bones at Mandibuzz to knock it down.
It’s thought that Marowak is trying to avenge
its parent."
105,106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,"Hitmonlee’s legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue."
106,107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokémon
has an indomitable spirit and will never give up in the face
of adversity."
107,108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,"It checks out whatever’s around it by licking
everything. If you don’t clean off a spot where
it’s licked you, you’ll break out in a rash!"
108,109,Koffing,Poison,,340,40,65,95,60,45,35,1,False,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokémon."
109,110,Weezing,Poison,,490,65,90,120,85,70,60,1,False,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokémon also
becomes more putrid."
110,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,"Rhyhorn’s brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something."
111,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,"Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokémon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat."
112,113,Chansey,Normal,,450,250,5,5,35,105,50,1,False,"It seems that other Pokémon’s efforts to take
its delicious, nutritious egg away from it caused
Chansey to get faster at fleeing."
113,114,Tangela,Grass,,435,65,55,115,100,40,60,1,False,"Tangela’s vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day."
114,115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,"Kangaskhan protects its child by keeping it in
its pouch. It has zero forgiveness for those
who harm its child and will beat them down."
115,116,Horsea,Water,,295,30,40,70,70,25,60,1,False,"If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokémon
swims by cleverly flapping the fin on its back."
116,117,Seadra,Water,,440,55,65,95,95,45,85,1,False,"Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokémon weakens prey with
these currents, then swallows it whole."
117,118,Goldeen,Water,,320,45,67,60,35,50,63,1,False,"Although known for their splendid tail fins,
Goldeen apparently compete among themselves
to see whose horn is thickest and sharpest."
118,119,Seaking,Water,,450,80,92,65,65,80,68,1,False,"Its horn spins like a drill to steadily hollow out
rocks—even harder ones. The coloration of the
male is more vivid."
119,120,Staryu,Water,,340,30,45,55,70,55,85,1,False,"In many places, there are folktales of stardust
falling into the ocean and becoming Staryu."
120,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,"Its sparkling core is called “the gem of the sea.”
This core can be made into high-priced
accessories that are traded in secret."
121,122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,"Its pantomime skills are wonderful. You may
become enraptured while watching it, but next
thing you know, Mr. Mime has made a real wall."
122,123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,"Its two sharp scythes are more than just
weapons. It uses them with dexterity to dress
its prey before eating."
123,124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,"It sways its hips to a rhythm all its own. The
precise movements of Jynx living in Alola are
truly wonderful."
124,125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,"Electricity permeates its body. It swings
its arms round and round to charge up
electricity before unleashing a punch."
125,126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,"Its entire body is burning. When it breathes,
the temperature rises. When it sneezes, flames
shoot out!"
126,127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,"It gets into territorial disputes with Vikavolt.
For some reason, it apparently gets along well
with Heracross in Alola."
127,128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,"They live in groups. The one with the longest,
thickest, and most-scarred horns is the boss
of the herd."
128,129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,"In the distant past, they were fairly strong, but
they have become gradually weaker over time."
129,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,"It fires hyper beams in all directions, burning the
surrounding area to ash. There are some regions
where it’s called “the deity of destruction.”"
130,131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,"It likes swimming around with people on its
back. In the Alola region, it’s an important means
of transportation over water."
131,132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,"While it can transform into anything, each Ditto
apparently has its own strengths and
weaknesses when it comes to transformations."
132,133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,"The question of why only Eevee has such
unstable genes has still not been solved."
133,134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,"Clean, clear waters are its usual habitat. When
it’s about to be attacked by an invading enemy,
it dives into the water to hide."
134,135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,"Its lungs contain an organ that creates
electricity. The crackling sound of electricity
can be heard when it exhales."
135,136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,"If it inhales deeply, that’s a sign it’s about to
attack. Prepare to be hit by flames of over
3,000 degrees Fahrenheit!"
136,137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,"This Pokémon was created using the
cutting-edge science of 20 years ago, so
many parts of it have since become obsolete."
137,138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,"Omanyte lived in the seas of antiquity. Its
fossils have been found bearing bite marks from
Archeops, so apparently Archeops preyed on it."
138,139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,"Its heavy shell is thought to be the reason this
ancient Pokémon died out. It’s apparently a
distant ancestor of Octillery."
139,140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,"This Pokémon thrived 300 million years ago. It’s
said that living specimens can still be seen
in a certain region—a rare sight."
140,141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,"Its body had begun to change so it could
function on land. But it didn’t adapt in time and
went extinct."
141,142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,"Restored from DNA found in amber, this
Pokémon exhibited ferocity that was greater
than expected. Some casualties resulted."
142,143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,"It doesn’t do anything other than eat and sleep.
When prompted to make a serious effort,
though, it apparently displays awesome power."
143,144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,"Articuno is a legendary bird Pokémon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokémon flies, snow will fall."
144,145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,"Zapdos is a legendary bird Pokémon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokémon gains power if it is stricken by lightning bolts."
145,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,"Moltres is a legendary bird Pokémon that has the ability
to control fire. If this Pokémon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself."
146,147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,"It’s still weak, so it lurks on the floor of bodies
of water, eating whatever food sinks down and
living a quiet life."
147,148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,"Lakes where Dragonair live are filled with
offerings from people, because they believe this
Pokémon is able to control the weather."
148,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,"It flies over raging seas as if they were nothing.
Observing this, a ship’s captain dubbed this
Pokémon “the sea incarnate.”"
149,150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True,"Mewtwo is a Pokémon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokémon’s body, they failed to
endow Mewtwo with a compassionate heart."
150,151,Mew,Psychic,,600,100,100,100,100,100,100,1,False,"Mew is said to possess the genetic composition of all
Pokémon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people."
151,152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,"In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokémon and creating a cozy,
friendly atmosphere all around."
152,153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,"Bayleef’s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy."
153,154,Meganium,Grass,,525,80,82,100,83,100,80,2,False,"The fragrance of Meganium’s flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe’s fighting spirit."
154,155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,"Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokémon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion."
155,156,Quilava,Fire,,405,58,64,58,80,65,80,2,False,"Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokémon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames."
156,157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,"Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokémon creates
blazing explosive blasts that burn everything to cinders."
157,158,Totodile,Water,,314,50,65,64,44,48,43,2,False,"Despite the smallness of its body, Totodile’s jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury."
